iso_code,Country,GDP,Total_Pop,Pop_Den,health_exp,Lat_avg,Lng_avg,total_vaccinations,people_fully_vaccinated_per_hundred
KOR,South Korea,1724845615629.26,51606633.0,529.1902481542251,41.54320526,37,127.5,2735051.0,0.29
KWT,Kuwait,140645364238.411,4137312.0,232.172390572391,11.95738506,29.3375,47.6581,860000.0,0.89
LAO,Lao People's Democratic Republic,17953786416.1431,7061507.0,30.5957842287695,48.85312653,18,105,184387.0,0.8
LBN,Lebanon,54961275741.5589,6848925.0,669.4941348973609,49.00943375,33.8333,35.8333,438268.0,2.28
LTU,Lithuania,53722883091.3513,2801543.0,44.731646175954,33.82151413,56,24,897571.0,9.19
LUX,Luxembourg,70919958015.5247,607950.0,250.18518518518502,13.66654778,49.75,6.1667,180488.0,7.77
LVA,Latvia,34416012859.1866,1927174.0,31.0383958769528,40.11939621,57,25,269517.0,2.23
MAR,Morocco,118096227400.092,36029138.0,80.72851893345279,59.62752151,32,-5,9041985.0,11.47
MCO,Monaco,7188238072.74445,38682.0,19083.3744449926,14.28296566,43.7333,7.4,24390.0,29.64
MDA,"Moldova, Republic of",11456717193.2501,2708214.0,94.2644302783293,40.75684738,47,29,132600.0,0.32
MDV,Maldives,5299773145.08744,515696.0,1718.9866666666699,28.44881058,3.25,73,382078.0,16.4
MEX,Mexico,1222348807283.2,126190788.0,64.9146264050001,49.9284935,23,-102,16687189.0,4.73
MLT,Malta,14750790658.4025,484630.0,1514.46875,36.50588608,35.8333,14.5833,318706.0,23.22
MMR,Myanmar,76168043981.5932,53708395.0,82.2751497418772,76.44777679,22,98,1040000.0,0.07
MMR,Burma,76168043981.5932,53708395.0,82.2751497418772,76.44777679,22,98,1040000.0,0.07
MNE,Montenegro,5504255213.578711,622227.0,46.262230483271395,39.98517227,42,19,60185.0,3.25
MNG,Mongolia,13108769495.7425,3170208.0,2.03576678193359,35.80735779,46,105,1007030.0,8.01
MYS,Malaysia,358715057123.739,31528585.0,95.9628214883579,48.80599213,2.5,112.5,1369749.0,1.62
NAM,Namibia,13454211343.5949,2448255.0,2.9737455817512704,49.33033752,-22,17,12833.0,0.03
NLD,Netherlands,914043438179.607,17231624.0,511.779744579745,35.05813217,52.5,5.75,5293851.0,5.5
NOR,Norway,434166615431.909,5311916.0,14.5488956208419,14.67688656,62,10,1528813.0,5.7
NZL,New Zealand,207920613961.749,4900600.0,18.611522539971897,25.17161751,-41,174,232588.0,1.24
OMN,Oman,79788768968.949,4829483.0,15.6041453957997,12.34123611,21,57,253057.0,1.07
PAN,Panama,65128200000.0,4176873.0,56.309543389460295,35.42386246,9,-80,640507.0,4.36
PER,Peru,222044970486.21698,31989256.0,24.99160625,37.20701599,-10,-76,1471473.0,1.78
PHL,Philippines,346841896890.281,106651922.0,357.688305329175,66.58752441,13,122,1809807.0,0.23
POL,Poland,587411745161.558,37974750.0,124.03158376065599,28.85525513,52,20,10740169.0,7.26
PRT,Portugal,242313116577.96698,10283822.0,112.26193595151399,38.45436478,39.5,-8,3081026.0,8.18
PRY,Paraguay,40384691790.5685,6956071.0,17.5083589227284,56.17837906,-23,-58,98666.0,0.17
ROU,Romania,241457403085.042,19472545.0,84.633801286509,20.30929184,46,25,4913012.0,9.46
RUS,Russian Federation,1669583089322.96,144477859.0,8.82206789209416,40.54341888,60,100,18557064.0,4.77
RUS,Russia,1669583089322.96,144477859.0,8.82206789209416,40.54341888,60,100,18557064.0,4.77
SGP,Singapore,373217081850.534,5638676.0,7952.998589562759,49.65463257,1.3667,103.8,2213888.0,14.53
SLE,Sierra Leone,4085114794.22324,7650154.0,105.987170961485,64.41017151,8.5,-11.5,57364.0,0.07
SLV,El Salvador,26117400000.0,6420744.0,309.88146718146703,35.94503403,13.8333,-88.9167,788173.0,0.62
SMR,San Marino,1655300872.5342698,33785.0,563.083333333333,16.0686264,43.7667,12.4167,26895.0,25.52
SRB,Serbia,50640650221.4622,6982604.0,79.8376857992225,39.94747543,44,21,3274776.0,19.4
SVK,Slovakia,105701930962.982,5446771.0,113.28558652246299,20.76090813,48.6667,19.5,1492640.0,8.25
SVN,Slovenia,54161636034.6517,2073894.0,102.99229256470899,27.59111595,46,15,586315.0,8.45
SWE,Sweden,555455371487.089,10175214.0,24.981498121823698,14.90784168,62,15,3019266.0,7.24
SYC,Seychelles,1586008999.74841,96762.0,210.35217391304298,25.16043854,-4.5833,55.6667,123831.0,58.21
THA,Thailand,506514103905.26794,69428524.0,135.897206835131,23.39257813,15,100,1227032.0,0.31
TUN,Tunisia,39770297328.9509,11565204.0,74.44132337796091,42.19874573,34,9,333000.0,0.59
TUR,Turkey,778381859840.942,82319724.0,106.960128893104,22.61772919,39,35,21678461.0,9.84
URY,Uruguay,59596885024.3487,3449299.0,19.7080276539824,27.01680946,-33,-56,1695351.0,15.95
USA,United States,20580159776000.0,326687501.0,35.7136220923495,49.5871315,38,-97,232407669.0,28.93
ZAF,South Africa,368288939768.322,57792520.0,47.640752128860996,44.06690979,-29,24,292623.0,0.49
ZWE,Zimbabwe,24311560500.0,14439018.0,37.3245909267158,52.01763535,-20,30,433939.0,0.43
